127.0.0.1 - - [12/Dec/2025:22:20:37 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:20:37 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:20:37 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:21:08 +0200] "GET /Actori/index.html HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:21:25 +0200] "GET /Actori/index.html HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:21:37 +0200] "GET /Actori/index.html HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:21:49 +0200] "GET /Actori/index.html HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:22:36 +0200] "GET /Actori/index.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:00 +0200] "GET /Actori/index.html HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:00 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:00 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:07 +0200] "GET /Actori/index.html HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:18 +0200] "GET /Actori/index.html HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:35 +0200] "GET /Actori/index.html HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:36 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:36 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:49 +0200] "GET /Actori/index.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:49 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:49 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:57 +0200] "GET /Actori/index.html HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:58 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:23:58 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:24:04 +0200] "GET /Actori/index.html HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:24:04 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:24:04 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:24:05 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:24:11 +0200] "GET /Actori/index.html HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [12/Dec/2025:22:24:11 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
